unit_i,unit_j,pearson_r
2158,2162,0.01436111612374853
2158,2196,0.026958128857245574
2158,2197,0.03284280520055767
2158,2199,0.017247685681877994
2158,2200,0.04118252072077891
2158,2201,0.049235172991150156
2158,2202,0.03138277760285612
2158,2205,0.029095581271115296
2158,2207,0.029759868211038203
2158,2237,0.02902547087430542
2158,2238,0.03872434352536927
2158,2239,0.025466803486981965
2158,2240,0.0494956637011332
2158,2241,0.02781691933655403
2158,2277,0.0035482377861584683
2158,2278,0.029567248113959686
2158,2280,0.02794827642924265
2158,2448,0.01086578316495552
2158,2484,0.02294610456878077
2158,2541,0.00884497900343636
2158,2648,0.017896438628941913
2158,2678,0.0069680610540887086
2158,2738,0.014226898938031293
2158,2757,0.05136996978219262
2158,2778,0.027122854470099385
2158,2842,0.015033970452977365
2158,2859,0.06952603267435818
2158,2860,0.05998137790056344
2158,2976,0.04678793642191879
2158,5404,0.03405940075186579
2158,5432,0.02780562441124924
2158,5435,0.030343131742835424
2158,5436,0.010919853957256224
2158,5437,0.05502269914643776
2158,5438,0.027234880611473736
2158,5439,0.05422416434831332
2158,5440,0.029357127032937105
2158,5441,0.03300830428199884
2158,5442,0.0074847494417718905
2158,5444,0.02708300111502731
2158,5446,0.05052448490857029
2158,5474,0.03467571243305621
2158,5475,0.0489733454625229
2158,5476,0.015303164415080556
2158,5477,0.03747365394565192
2158,5479,0.054309262179653275
2158,5505,0.021771750869315556
2158,5506,0.027786873092919002
2158,5507,0.01333519537636841
2158,5508,0.009185127094147478
2158,5509,0.03515107246593247
2158,5735,0.019874892336165764
2158,5743,0.018461279396612303
2158,5875,0.03584577157973857
2158,5908,0.020466327781128748
2158,5940,0.059874802260179286
2158,6191,0.011711436577569085
2158,6216,0.00921410387987373
2158,8861,0.01949044544316707
2158,8868,0.01718903771830011
2158,8904,0.013492696665313275
2158,8906,0.00918374548942072
2158,8907,0.012001652872312966
2158,8908,0.040884162044750205
2158,8909,0.020485023598843483
2158,8910,0.009694413901959926
2158,8911,0.008617801709223143
2158,8912,0.018268106808183
2158,8913,0.02422139678594083
2158,8914,-0.005182574273296487
2158,8916,0.017308770510095058
2158,8955,0.003343247070513127
2158,8956,0.008435435858078315
2158,8957,0.018371839850073023
2158,8958,0.037532014108626895
2158,8959,-0.0007417624653885446
2158,8960,0.02568745535610096
2158,8962,0.02521715275990003
2158,8963,0.01386630164798705
2158,8964,0.015480138643342366
2158,9000,0.016339900434012632
2158,9001,0.023876743244177462
2158,9002,0.010041800809115015
2158,9004,0.005361389736843815
2158,9155,0.020126978962233442
2158,9330,0.026688830479212753
2158,9337,0.022164257254841467
2158,9390,0.009778193955372851
2158,9401,0.005226632036137363
2158,9427,0.024721995520509393
2158,9428,0.016999351049539764
2158,9446,0.025307505473835548
2158,9465,0.006092462201050197
2158,9553,0.036501585161060085
2158,9651,0.030485449111674678
2158,11878,0.04599874632904699
2158,11882,0.03795618591979683
2158,11883,0.0187077893897336
2158,11884,0.02399999298256667
2158,11886,0.03263032462821449
2158,11887,0.0536799924636448
2158,11888,0.022190139343540017
2158,11889,0.02878324307675986
2158,11929,0.03711267770674698
2158,11930,0.021658395592883083
2158,11931,0.03947302475420101
2158,11933,0.009377842680320854
2158,11934,0.0346873886190487
2158,11935,0.026872129905033553
2158,11936,0.0036237747462329528
2158,11970,0.03895049917656447
2158,11971,0.03374714016618779
2158,11973,0.022818802231788504
2158,12246,0.039960855402217055
2158,12267,0.027847143476345232
2158,12284,0.04798545789244059
2158,12286,0.025512440106468193
2158,12290,0.030945274914522387
2158,12316,0.006992486354717761
2158,12346,0.010519534580492438
2158,12372,0.049483100790515586
2158,12562,0.02497941098537302
2158,12568,0.04094924865611151
2158,12619,0.03402196149723386
2158,12637,0.03920808420177034
2162,2196,0.010115863033467466
2162,2197,0.005537787936815563
2162,2199,-0.002227863626099348
2162,2200,0.012509795396905417
2162,2201,0.021536165396033716
2162,2202,0.015504637521435435
2162,2205,-0.0037296900316095647
2162,2207,0.05409968350250159
2162,2237,0.02029831460380135
2162,2238,0.012436788471683717
2162,2239,0.02073118739844661
2162,2240,0.04067454307734796
2162,2241,0.0065511049045368416
2162,2277,-0.000246425399089637
2162,2278,0.0028495471114161758
2162,2280,-0.004050930521625506
2162,2448,0.00943855401463207
2162,2484,0.004662318469200823
2162,2541,0.005600564684015371
2162,2648,0.00785001265779182
2162,2678,0.036882724844109635
2162,2738,0.037914007122985
2162,2757,0.014931148245984691
2162,2778,0.002709897636272366
2162,2842,0.02812513093149247
2162,2859,0.03619752333851482
2162,2860,0.0024332874705502395
2162,2976,0.011834390110677384
2162,5404,0.019876332685570267
2162,5432,0.010707448478666308
2162,5435,0.016647097370284848
2162,5436,0.0037630364956447613
2162,5437,0.0017143389719185675
2162,5438,0.005390795934846381
2162,5439,0.019831950795101173
2162,5440,0.024139220795429277
2162,5441,-0.0011924765039576794
2162,5442,0.0068529252347167635
2162,5444,0.013845427724702776
2162,5446,0.013710208712904104
2162,5474,0.009993489267452605
2162,5475,0.00899554326644513
2162,5476,-0.0009724165311133996
2162,5477,0.011129936976144431
2162,5479,0.010166836244093274
2162,5505,0.010515429168561338
2162,5506,0.0051213921563389485
2162,5507,-0.00193270847455796
2162,5508,0.0404378617893071
2162,5509,0.004533905692613617
2162,5735,0.004282303628070772
2162,5743,0.0052501852515816575
2162,5875,-0.0022267198940990633
2162,5908,-0.0008667787123221745
2162,5940,-0.0016679032463024854
2162,6191,0.0016470656215428418
2162,6216,0.01368349731062516
2162,8861,0.008106506750108305
2162,8868,0.01439907747200078
2162,8904,0.010178766165398544
2162,8906,-0.0022161520931863366
2162,8907,-0.005713047553138481
2162,8908,0.01172111134466452
2162,8909,0.024477087973542103
2162,8910,0.009783814292205617
2162,8911,0.012009279111674782
2162,8912,0.00028307418752163594
2162,8913,0.01515125469755254
2162,8914,-0.006251117456115346
2162,8916,0.009973291727847037
2162,8955,-0.0035197409774651908
2162,8956,0.0066102831912925085
2162,8957,0.004552898554816114
2162,8958,-0.002670714294703173
2162,8959,0.0008924704075302243
2162,8960,0.01789661026011373
2162,8962,0.012863736107669367
2162,8963,-0.006325478702591582
2162,8964,-0.00173214364918892
2162,9000,-0.0014346462476367771
2162,9001,-0.007669753550353126
2162,9002,-0.004045035397444377
2162,9004,0.0029430629663792585
2162,9155,0.001361646013682338
2162,9330,-0.002622439370239452
2162,9337,-0.001655489099122643
2162,9390,0.005356708279956646
2162,9401,-0.005698300594440641
2162,9427,0.015994591045663475
2162,9428,-0.003275787830330595
2162,9446,-0.006978966361981979
2162,9465,0.011236771199149127
2162,9553,0.005510474945318618
2162,9651,0.013401059566406947
2162,11878,0.01990407924152771
2162,11882,0.014758569178607205
2162,11883,0.02332265273099388
2162,11884,0.004695031365836675
2162,11886,0.04211578498449273
2162,11887,0.005237913007158982
2162,11888,0.008944131779171829
2162,11889,0.0020892492358180184
2162,11929,0.035577742201712365
2162,11930,0.010893185539300366
2162,11931,0.00785881696006137
2162,11933,-0.0012992606082969517
2162,11934,-0.004431571046166401
2162,11935,0.014583598494716066
2162,11936,0.04282077557209965
2162,11970,0.0007885532623791645
2162,11971,-0.010099110489764864
2162,11973,0.02643071668498712
2162,12246,-0.006930233189485519
2162,12267,0.015234214265133335
2162,12284,0.02948789629140212
2162,12286,0.02579458639300581
2162,12290,0.02815123587444591
2162,12316,0.014058854330011184
2162,12346,0.10808125215944073
2162,12372,0.006009743301169333
2162,12562,-0.003888575419928798
2162,12568,0.01582362041080901
2162,12619,0.004711660386377984
2162,12637,0.0013696910314895015
2196,2197,0.05328775732774539
2196,2199,0.010369335750027594
2196,2200,0.03511424198957796
2196,2201,0.04528055507665385
2196,2202,0.0422995900074506
2196,2205,0.007639227573713327
2196,2207,0.01555081814546829
2196,2237,0.016290701357638354
2196,2238,0.016200972177084803
2196,2239,0.00843518120857308
2196,2240,0.02320215284975367
2196,2241,0.014023325071432925
2196,2277,-0.0029946706821717957
2196,2278,0.02113820655993632
2196,2280,-0.0009084812441596993
2196,2448,-0.002959965389661376
2196,2484,0.01993302205551494
2196,2541,0.01213199632168765
2196,2648,0.008870218746333034
2196,2678,-0.0013527257209095624
2196,2738,0.002988121516424397
2196,2757,0.01299536016751709
2196,2778,0.041516991241854304
2196,2842,0.018354050061844727
2196,2859,0.015018592417495109
2196,2860,0.044426125821864206
2196,2976,0.030936010314054276
2196,5404,0.017168301504413525
2196,5432,0.047728344470099035
2196,5435,0.05326130562200038
2196,5436,0.015709296038256947
2196,5437,0.04058879705039818
2196,5438,0.012677349721462734
2196,5439,0.02578543080056215
2196,5440,0.007167838507067317
2196,5441,-0.0008458309296836609
2196,5442,0.006646342576728353
2196,5444,0.01929089980066279
2196,5446,0.0020593092156039705
2196,5474,0.024599613434070154
2196,5475,0.03397674187616219
2196,5476,0.021123591645736895
2196,5477,0.00930539475345642
2196,5479,0.00621243669346821
2196,5505,-0.005724594786185657
2196,5506,0.005486198000074808
2196,5507,0.02643482945033367
2196,5508,0.019610496899080183
2196,5509,0.026910275065766525
2196,5735,0.02038497148457114
2196,5743,0.004820747596493534
2196,5875,0.0032775893151724056
2196,5908,0.020333449329789914
2196,5940,0.010926646305692504
2196,6191,0.019007814541106876
2196,6216,0.0008825806637711138
2196,8861,0.020308108942025407
2196,8868,-0.008327431458597908
2196,8904,0.039372354870827
2196,8906,0.007930022421697746
2196,8907,0.015333232924331716
2196,8908,0.006422592491923606
2196,8909,0.011006633818400158
2196,8910,0.020119415785095084
2196,8911,0.008069539668788362
2196,8912,0.008013720805451699
2196,8913,0.022495184878556063
2196,8914,-0.007721953000370676
2196,8916,0.006986711323729596
2196,8955,-0.0016742118089959168
2196,8956,-0.004898405651898544
2196,8957,0.020416631251151462
2196,8958,0.023661249884370662
2196,8959,0.02919998148076854
2196,8960,0.021055513684138747
2196,8962,0.01073377753033225
2196,8963,0.011115358849801898
2196,8964,-0.0032263395660497803
2196,9000,0.006455633144009948
2196,9001,0.02332385904891222
2196,9002,0.0071770660189542064
2196,9004,0.014330790650657272
2196,9155,0.020527178691000705
2196,9330,0.009803562489522133
2196,9337,0.00876362915107593
2196,9390,0.01350911076801671
2196,9401,0.013563797799336008
2196,9427,0.021830956177343215
2196,9428,0.022438516324709338
2196,9446,0.002509576583522443
2196,9465,0.021502000101167217
2196,9553,0.03030089318657613
2196,9651,0.02143175270914899
2196,11878,0.016523032794589682
2196,11882,0.03117792621253831
2196,11883,0.001335446499937313
2196,11884,0.04066270083511855
